TITLE,DESCRIPTION,PRICE,QUANTITY,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
Gold Champagne Sequin Bolero Shrug Formal Wedding or Bridal Party - Classic and Simple - EcoFriendly - SALLY,"Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
The Sally is chic, classic and simple. It features gold sequins on a lined cropped shrug with a curved front. The sleeves are angled for a more modern look. The perfect addition to any holiday or special occasion outfit! It is lined in a white eco friendly modal jersey fabric for added comfort.
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",80,4,https://img1.etsystatic.com/021/0/5635488/il_fullxfull.492272281_si4v.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.492215598_cgim.jpg,https://img1.etsystatic.com/022/0/5635488/il_fullxfull.492268923_2kz0.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492215682_614h.jpg,https://img1.etsystatic.com/023/0/5635488/il_fullxfull.492269037_3463.jpg,Color,Color,Gold,Size,Size,"XS,S,M,L"
"Fleece Leggings in Black EcoFriendly Bamboo Fleece Jersey, Thick and Warm Perfect for Fall and Winter - KATYA","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
Katya leggings are an everyday classic design made with ecofriendly bamboo spandex fleece leggings for extra warmth. These are about 2.5 times thicker than your standard leggings. These are easy to fit and can stretch to accommodate longer legs. Great for wearing under ski pants when hitting the slopes!
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",70,5,https://img0.etsystatic.com/018/1/5635488/il_fullxfull.492594034_oa9r.jpg,https://img1.etsystatic.com/017/1/5635488/il_fullxfull.492647025_926t.jpg,https://img0.etsystatic.com/023/0/5635488/il_fullxfull.492594044_l5kq.jpg,https://img1.etsystatic.com/017/0/5635488/il_fullxfull.492647105_47yo.jpg,https://img1.etsystatic.com/018/0/5635488/il_fullxfull.492647059_kjjd.jpg,Size,Size,"XS,S,M,L,XL",,,
"Gray Eyelet Dress, Womens Day Sun Dress, Eco Friendly Modal, Criss Cross X Back, Lace, Long Knee Length, Also White - TRACY","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
The Tracy dress is made with a cotton eyelet lace and lined in an eco friendly modal jersey (the softest you'll ever feel!), this dress is simply a must have classic! The front is cut in a body flattering fit and flare, while the criss cross back provides a little Summer sass! This is a pull on dress with an elastic back and side seam pockets.
* Please note that the Gray version is made to be knee length. It is about 1 1/2 inches longer than the white version. The Model in the photos is 5'4'' *
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",120,9,https://img0.etsystatic.com/038/1/5635488/il_fullxfull.516872426_ldfm.jpg,https://img1.etsystatic.com/041/0/5635488/il_fullxfull.516932409_6ulj.jpg,https://img0.etsystatic.com/018/2/5635488/il_fullxfull.493717762_i79g.jpg,https://img0.etsystatic.com/022/0/5635488/il_fullxfull.493717802_r8h4.jpg,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.516934103_djku.jpg,Size,Size,"XS,S,M,L",Color,Color,"Gray,White"
"Wrap Dress, Womens Dress, Stretch ITY Jersey, Purple Raspberry Bright Neon Plaid Print with Black, Geometric, Vneck Dress - KELLY","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
A DVF inspired bold wrap dress that will flatter all body types. Perfect to take from work to evening, this dress is sure to become a wardrobe staple! This is made with a lightweight, super soft feeling ITY stretch jersey with a plum berry and black geometric print. This is a limited edition piece!
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",95,4,https://img0.etsystatic.com/038/2/5635488/il_fullxfull.516605306_i4mb.jpg,https://img1.etsystatic.com/022/0/5635488/il_fullxfull.516681603_n0eh.jpg,https://img0.etsystatic.com/040/0/5635488/il_fullxfull.516615558_rgeo.jpg,https://img1.etsystatic.com/036/0/5635488/il_fullxfull.516681743_25u8.jpg,https://img1.etsystatic.com/027/0/5635488/il_fullxfull.516681725_6hex.jpg,Size,Size,"XS,S,M,L",,,
"Organic Cowl Neck, Womens Blouse Eco Friendly Modal Bamboo Cotton Jersey, Dark Gray, Navy, White - SARA","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
The Sara cowl in Gray and White is made with a super soft featherweight modal jersey. This is the softest fabric I've ever felt! This blouse also comes in a Navy and Dark gray (organic) version which is made with an ecofriendly bamboo jersey. The bamboo jersey has a slightly heavier weight to it, but is also very soft!
Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/163756815/womens-cowl-neck-blouse-ecofriendly?ref=shop_home_active
??_  More sizing will be available soon! ???
Gray: S, M or L
Dark Gray (W/ Purple Undertone): XS, S, M, L or XL
White: XS, S, M, L or XL
Navy: XS, S or L
??_ In between measurements? I'd recommend ordering the smaller size ???
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,10,https://img0.etsystatic.com/041/0/5635488/il_fullxfull.516601224_be3y.jpg,https://img0.etsystatic.com/030/1/5635488/il_fullxfull.516601370_pzrm.jpg,https://img1.etsystatic.com/044/0/5635488/il_fullxfull.516667367_ldwc.jpg,https://img0.etsystatic.com/019/0/5635488/il_fullxfull.516601236_d4lx.jpg,https://img1.etsystatic.com/018/0/5635488/il_fullxfull.516667315_hbi0.jpg,Color,Color,"Gray,White,Navy,Dark Gray",,,
"Fitted Ruffled Jacket Blazer High Collar Navy Blue Green Black Cotton, Ruffled Front SALE - JASMINE","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
Originally $150, now on Sale for $100
??_ Selling the last of my stock! This design will not be reproduced! ??_
The Jasmine is constructed with dozens of pattern pieces, and is completely lined! Wear it on casual days or as a more formal blazer for work. I've used only the best fabrics for this piece with a lining made of soft cotton voile. It's the perfect Jacket for Fall and Spring!
Black is available in XS
Blue is available in XS, S, M or L
Green is available in XS or S
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",100,8,https://img1.etsystatic.com/008/1/5635488/il_fullxfull.392773499_a5uv.jpg,https://img1.etsystatic.com/005/0/5635488/il_fullxfull.392773673_9wh0.jpg,https://img0.etsystatic.com/004/0/5635488/il_fullxfull.392776934_kg43.jpg,https://img1.etsystatic.com/011/0/5635488/il_fullxfull.439400869_gs8z.jpg,https://img1.etsystatic.com/016/0/5635488/il_fullxfull.464549487_mogq.jpg,Color,Color,"Black,Navy Blue,Hunter Green",Size,Size,"XS,S,M,L"
"EcoFriendly Womens Black Hoodie With Asymmetric Zipper in Bamboo Sweatshirt Fleece, Rocker Style - HANNAH","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
A little added style to a classic little black sweater, the Hannah hoodie features an asymmetrical metal zip and an oversized hood. Understated style at its best!
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",110,2,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.492650663_ib8v.jpg,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.492650615_q2ai.jpg,https://img0.etsystatic.com/017/0/5635488/il_fullxfull.492597600_hrx3.jpg,https://img1.etsystatic.com/017/0/5635488/il_fullxfull.492650641_3807.jpg,https://img0.etsystatic.com/017/0/5635488/il_fullxfull.492597680_qmy8.jpg,Size,Size,"S,M,L,XL",,,
"Navy Blue Cowl Neck, Womens Blouse, Eco Friendly Jersey, Bamboo Organic Cotton, Classic Comfortable, Also in White Grey Modal - SARA","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
The Sara cowl in Gray and White is made with a super soft featherweight modal jersey. This is the softest fabric I've ever felt! This blouse also comes in a Navy and Dark gray (organic) version which is made with an ecofriendly bamboo jersey. The bamboo jersey has a slightly heavier weight to it, but is also very soft!
Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/163756815/womens-cowl-neck-blouse-ecofriendly?ref=shop_home_active
??_  More sizing will be available soon! ???
Gray: S, M or L
Dark Gray (W/ Purple Undertone): XS, S, M, L or XL
White: XS, S, M, L or XL
Navy: XS, S or L
??_ If you are in between sizes, I recommend sizing down ???
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,4,https://img1.etsystatic.com/023/1/5635488/il_fullxfull.493307085_e2mi.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.493251582_7gbu.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.493074926_kiy3.jpg,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.492757767_jh49.jpg,https://img0.etsystatic.com/043/0/5635488/il_fullxfull.516599380_biw9.jpg,Color,Color,"Gray,White,Navy,Dark Gray",Size,Size,"XS,S,M,L,XL"
"Organic Womens Clothing, Tshirt Dress in Cotton Bamboo Jersey Knit with Japanese Floral Print Belt Wrap, Pink - MARINA","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
Made with soft bamboo cotton jersey, the Marina is perfect for a casual day at the dock, or a comfortable option to constricting and ordinary work outfits. Flattering for all body types, this dress features a pleated bust, elasticized back waist and combination print for the shoulder trim and belt.
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",115,9,https://img0.etsystatic.com/020/1/5635488/il_fullxfull.493755990_ak1s.jpg,https://img1.etsystatic.com/018/0/5635488/il_fullxfull.493811475_c4nf.jpg,https://img0.etsystatic.com/023/0/5635488/il_fullxfull.493755996_ptd1.jpg,https://img0.etsystatic.com/023/1/5635488/il_fullxfull.493755964_puor.jpg,https://img1.etsystatic.com/024/0/5635488/il_fullxfull.493811471_8bzi.jpg,Color,Color,"Blue,Pink",Size,Size,"XS,S,M,L,XL"
"2 Womens Cowl Neck Blouse, Organic, EcoFriendly Womens Clothing, Bamboo Clothing, 2 Pieces at Discount Sale - SARA","Shop Policies:
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
This listing is for 2 cowl neck blouses in any 2 colors. Please note your color choices in the ""Notes to Seller"" when checking out!
The Sara cowl in Gray and White is made with a super soft featherweight modal jersey. This is the softest fabric I've ever felt! This blouse also comes in a Navy and Dark gray (organic) version which is made with an ecofriendly bamboo jersey. The bamboo jersey has a slightly heavier weight to it, but is also very soft!
??_  More sizing will be available soon! ???
Gray: S, M or L
Dark Gray (W/ Purple Undertone): XS, S, M, L or XL
White: XS, S, M, L or XL
Navy: XS, S or L
??_ If you are in between sizes, I'd suggest sizing down ???
SIZING
Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40
XL ----- 40, 34, 42
Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)
?я?я MAILING LIST ?я?я
Convo us your email address to receive occasional newsletters with exclusive discounts!
POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav
BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",80,4,https://img0.etsystatic.com/031/0/5635488/il_fullxfull.516596444_5r07.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492703714_t977.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492703730_ls1m.jpg,https://img0.etsystatic.com/023/0/5635488/il_fullxfull.516597156_t933.jpg,https://img0.etsystatic.com/030/0/5635488/il_fullxfull.516597506_l9xd.jpg,Color,Color,"Gray,White,Navy,Dark Gray",Size,Size,"XS,S,M,L,XL"
